"GENERATION","MEAN","STDDEV","MAX","MIN"
0,24.48,3.31961,32,16
1,26.92,2.82371,32,18
2,28.54,2.68712,35,22
3,30,2.45361,36,23
4,31.31,2.2949,37,26
5,32.19,2.11629,38,28
6,33.01,2.03254,38,29
7,33.95,2.5,41,28
8,35.04,2.33515,41,29
9,36,2.0251,40,30
10,36.85,1.9404,42,32
11,37.56,1.731,42,33
12,38.32,1.53662,42,35
13,38.72,1.66412,42,32
14,39.34,1.46487,42,36
15,39.85,1.40256,42,36
16,40.25,1.40974,43,37
17,40.78,1.39682,45,37
18,41.04,1.56295,45,38
19,41.38,1.6623,45,38
20,42.05,1.76025,46,37
21,42.71,1.62863,47,40
22,43.22,1.64887,46,39
23,43.77,1.56899,46,38
24,44.16,1.40504,47,40
25,44.62,1.17017,47,41
26,44.68,1.22993,48,41
27,44.85,1.32859,47,41
28,45.2,1.23909,47,42
29,45.53,1.16736,48,42
30,45.73,1.27806,48,42
31,46.04,1.34028,49,42
32,46.42,1.31947,50,42
